Address,Suburb,Price,Bedroom,Bathroom,YearBuilt,DateSold
1 Challenger Avenue,Manning,590000,3,2,2001,2019
1 Chamberlain Circle,Bateman,835000,4,2,1985,2018
1 Charleston Road,Eglinton,495000,4,2,2015,2016
1 Chauvel Court,Kiara,390000,4,2,1994,2012
1 Chester Court,Orelia,280000,3,1,1970,2017
1 Chiddington Street,Beckenham,355000,3,1,1974,2017
1 Chipala Court,Edgewater,465000,4,2,1987,2016
1 Citrus Loop,South Lake,372000,3,2,NULL,2020
1 Claret Ash Court,Helena Valley,685000,4,2,1994,2015
1 Clarke Street,East Cannington,360000,3,2,2006,2016
1 Clearwater Way,Singleton,320000,4,2,2006,2020
1 Clifford Loop,Darch,492000,3,2,2008,2016
1 Cliverton Court,Marmion,974000,5,2,1990,2013
1 Clovertree Street,Maddington,435000,4,2,1988,2017
1 Cobea Court,Mount Claremont,900000,3,2,1995,2017
1 Cockman Road,Greenwood,405000,3,1,1975,2018
1 Cohen Place,Beechboro,290000,3,1,1978,2018
1 Collier Street,Wembley,1160000,2,2,1950,2019
1 Colmworth Way,Butler,415000,3,2,2004,2019
1 Colonial Mews,Edgewater,525000,4,2,1984,2017
1 Conical Way,Harrisdale,629000,4,2,2012,2017
1 Convallis Vista,The Vines,600000,4,2,2007,2020
1 Corbin Gate,Madeley,427000,3,2,2005,2020
1 Coronado Ridge,Iluka,1015000,5,3,1995,2017
1 Corvette Close,Waikiki,445000,4,2,1991,2019
1 Craigie Place,Mundaring,610000,4,2,1985,2018
1 Crest Grove,Ballajura,465000,4,2,1988,2019
1 Creswick Cross,Kiara,454000,4,2,1993,2009
1 Criollo Place,Stratton,380000,3,2,2000,2014
1 Crivelli Parkway,Ashby,382000,4,2,2005,2020
1 Crowley Vista,Salter Point,1150000,4,2,2001,2014
1 Curruthers Road,Mount Pleasant,2200000,2,1,1958,2018
1 Cypress Mews,Warnbro,375000,4,2,2006,2018
1 Dagostino Road,Byford,495000,4,2,2010,2020
1 Dalkey Way,Darch,445000,3,2,2008,2016
1 Danzil Street,Willagee,515000,4,2,2002,2019
1 Datchet Turn,Bertram,270000,3,2,2011,2020
1 David Street,Mullaloo,780000,5,2,1977,2018
1 Davis Court,Woodlands,1280000,4,3,1980,2017
1 Daybreak Loop,Wellard,410000,4,2,2015,2018
1 Dean Place,Lockridge,425000,4,2,1983,2014
1 Dean Road,Bateman,599900,3,1,1968,2017
1 Delphi Court,Rossmoyne,1330000,3,2,1974,2014
1 Denton Street,Wembley,732000,3,1,1990,2019
1 Dermer Road,Beaconsfield,530000,3,2,NULL,2017
1 Deverell Way,Bentley,465000,3,2,2012,2019
1 Dilkera Place,Quinns Rocks,380000,3,2,1995,2020
1 Dirk Hartog Road,Bull Creek,572000,3,1,NULL,2017
1 Discovery Circuit,Iluka,1300000,5,3,2002,2018
1 Disney Street,Brentwood,710250,4,2,1990,2016
1 Dolomite Road,Carine,835000,5,2,1986,2018
1 Dolphin Way,Beldon,400000,3,1,1978,2016
1 Doradeen Close,Hillman,275000,3,1,1988,2015
1 Doram Court,Swan View,335000,3,1,1985,2017
1 Driftwood Way,Bennett Springs,400000,4,2,2001,2017
1 Driver Road,Darch,532000,4,2,2004,2016
1 Dunbar Road,Claremont,1700000,3,2,NULL,2020
1 Durant Way,Brentwood,820000,3,2,2006,2015
1 Dutton Way,Singleton,385000,3,1,1983,2016
1 Duxford Street,Butler,427000,4,2,2002,2018
1 East Street,Mount Hawthorn,660000,2,2,1962,2019
1 Eastfield Court,Ferndale,250000,3,1,2017,2016
1 Easton Court,Boya,508000,4,2,1993,2015
1 Edelweiss Way,Beckenham,415000,4,2,1994,2018
1 Edgecombe Pass,Aveley,550000,4,3,2008,2019
1 El Porto Way,Iluka,935000,4,2,2007,2020
1 Elfin Grove,Warnbro,380000,3,2,1994,2018
1 Elvire Street,Midland,349000,2,1,1930,2018
1 Empress Crescent,Atwell,470000,4,2,1998,2019
1 Epping Court,High Wycombe,475000,4,2,2007,2020
1 Ericht Pass,Kinross,577500,4,2,NULL,2019
1 Estevan Way,Ferndale,490000,4,2,1975,2018
1 Ethel Street,Guildford,715000,4,2,1900,2015
1 Etna Place,Rossmoyne,1100000,4,3,2009,2014
1 Eudora Way,North Coogee,1130000,4,2,2009,2017
1 Facey Road,Gnangara,340000,4,1,1978,1998
1 Fairetha Court,Ascot,720000,4,3,1997,2014
1 Fairhaven Terrace,Hillarys,1075000,4,2,2003,2019
1 Fallow Crescent,Spearwood,475000,4,2,1994,2019
1 Fantail Drive,Bibra Lake,545000,4,2,1984,2017
1 Farrington Street,Warnbro,317500,4,2,1965,2018
1 Federal Street,Osborne Park,465000,3,2,2002,2020
1 Felpham Court,Success,449000,4,2,2004,2020
1 Ferguson Road,Karragullen,150000,4,2,1980,1995
1 Ficarra Way,Sinagra,450000,4,2,NULL,2018
1 First Avenue,Woodbridge,525000,3,1,1969,2007
1 Fischer Road,Darlington,900000,4,3,1982,2017
1 Flello Rise,Bedfordale,950000,4,3,2009,2014
1 Flemington Way,Redcliffe,375000,3,2,2000,2020
1 Flint Close,Pearsall,522000,4,2,2002,2019
1 Florey Place,Huntingdale,464000,4,1,1986,2016
1 Floribunda Gate,Dayton,550000,4,2,NULL,2016
1 Forrest Court,Kiara,490000,4,2,1989,2008
1 Fort Street,Morley,560000,2,1,2006,2020
1 Fortuna View,Iluka,1160000,4,2,2010,2019
1 Fortune Street,Balcatta,460000,3,2,1997,2018
1 Fourth Avenue,Rossmoyne,872000,4,2,1989,2014
1 Fran Court,Merriwa,335000,3,2,2002,2017
1 Frederic Street,Koongamia,83000,2,1,1959,1998
1 Freedman Road,Menora,925000,4,2,1969,2018
1 Gaffin Way,Kwinana Town Centre,330000,3,2,2015,2015
1 Gali Lane,City Beach,1930000,4,3,2012,2016
1 Galilee Way,Baldivis,547000,3,2,2009,2020
1 Gamay Court,The Vines,533000,4,2,2001,2017
1 Gannett Street,Bateman,460000,2,1,1969,2019
1 Genesta Place,Two Rocks,405000,4,2,1986,2016
1 Georges Close,Kallaroo,1075000,4,2,1989,2016
1 Gerygone Pass,Tapping,465000,3,2,2007,2017
1 Ghost Gum Boulevard,Banksia Grove,335000,4,2,2004,2017
1 Gianatti Ramble,East Cannington,745000,4,2,2008,2016
1 Gidgee Cove,Kenwick,385000,3,2,2015,2018
1 Gilchrist Avenue,Bibra Lake,480000,3,1,1980,2016
1 Gillespie Court,Lockridge,330000,3,1,2000,2015
1 Gillon Road,Noranda,520000,4,2,1990,2016
1 Giudice Way,Yangebup,885000,4,2,2009,2020
1 Glasson Way,Darch,610000,4,2,2007,2016
1 Glebe Close,Mindarie,830000,4,2,2001,2018
1 Glenelg Street,Mount Hawthorn,825000,4,2,NULL,2018
1 Gloucester Road,Kalamunda,485000,4,2,1970,2018
1 Gloucester Street,Swanbourne,980000,4,2,NULL,2017
1 Gold Lane,Iluka,769000,5,2,2005,2017
1 Goldsmith Drive,Wellard,900000,4,2,1998,2018
1 Gordon Place,Huntingdale,410000,3,2,1985,2016
1 Gorman Place,Calista,475000,4,2,2006,2015
1 Graduate Place,Marangaroo,385000,4,2,1993,2019
1 Grahame Street,Mount Helena,385000,4,1,1975,2019
1 Grancey Avenue,Mundaring,650000,2,1,2005,2020
1 Grant Street,Duncraig,730000,5,2,2012,2020
1 Gray Road,Gooseberry Hill,560000,5,3,1990,2016
1 Gray Road,Haynes,720000,4,2,1993,2013
1 Green Street,Kewdale,505000,3,1,1986,2017
1 Greygum Rise,Kenwick,362500,5,2,1998,2019
1 Grid Court,Beldon,487000,3,1,1983,2017
1 Grimsay Road,Ardross,600000,3,1,1970,2016
1 Grove End Ridge,Mount Claremont,1675000,4,3,2000,2017
1 Grove Street,Shoalwater,315000,3,1,1980,2017
1 Guy Place,Melville,990000,3,2,NULL,2019
1 Hadlow Court,Leeming,428000,4,3,1980,2018
1 Halleendale Road,Walliston,620000,4,2,1995,2007
1 Hamlyn Glen,Kiara,405000,3,1,1993,2012
1 Hanrahan Loop,Kardinya,643000,4,2,1982,2018
1 Hansen Vista,Landsdale,538000,5,2,2006,2019
1 Hardey Road,Serpentine,375000,4,2,1995,2014
1 Harrier Way,Beldon,395000,3,1,1985,2017
1 Hartle Lane,Brookdale,311850,4,2,2014,2013
1 Hartley Street,Coolbellup,499000,4,2,1969,2017
1 Hartwell Parade,Jandakot,620000,4,2,2002,2019
1 Harwood Pass,Darling Downs,660000,5,3,2004,2018
1 Harwood Street,Hilton,560003,3,2,1953,2016
1 Hazlett Close,South Lake,481000,4,2,1985,2016
1 Hebb Court,Parkerville,635000,3,1,2001,2016
1 Henderson Road,Stoneville,430000,3,1,NULL,2013
1 Hennessy Drive,Ashby,430000,4,2,2005,2020
1 Henrietta Court,Coogee,727000,4,2,1998,2015
1 Henty Court,Mirrabooka,450000,4,1,1985,2015
1 Herbert Road,Subiaco,910000,2,1,NULL,2018
1 Heslop Road,Lesmurdie,705000,5,2,2000,2018
1 Hewlett Turn,Tapping,470000,4,2,2002,2018
1 Hillcrest Drive,Darlington,474000,3,2,1974,2018
1 Hilliger Turn,Jane Brook,515000,4,2,2015,2016
1 Hilltop Close,Mahogany Creek,272500,3,1,1987,2005
1 Hilltop Place,Edgewater,492500,4,2,1987,2017
1 Hillwater Promenade,Bennett Springs,565000,4,2,NULL,2015
1 Hitek Court,Merriwa,280000,4,2,1990,2020
1 Holmesdale Road,Woodbridge,575000,3,1,1935,2016
1 Holywell Street,Middle Swan,495000,4,3,2012,2013
1 Honister Close,Balga,290000,4,1,1984,2019
1 Hood Street,Forrestfield,365000,3,1,1984,2020
1 Horsemans View,Roleystone,670000,5,2,2011,2019
1 Hulbert Street,South Fremantle,1200000,4,2,1965,2018
1 Huntington Road,Coogee,910000,3,3,1986,2019
1 Hydra Close,Rockingham,340000,3,1,1970,2019
1 Hynes Road,Dalkeith,1800000,4,2,1985,2015
1 INGODA LINK,Baldivis,650000,5,1,2013,2020
1 Ingot Lane,Harrisdale,492000,4,2,2008,2020
1 Iona Place,Cannington,543800,4,2,1996,2017
1 Irma Way,Butler,360000,4,2,2006,2020
1 Ironcap Grove,Wandi,305000,4,2,2015,2015
1 Ivythorne Grove,Kiara,210000,3,1,1992,2013
1 Jacolite Street,Darch,530000,4,2,2006,2019
1 Jade Grove,Edgewater,480000,4,2,1982,2017
1 Jaffa Close,Seville Grove,375000,3,2,1994,2016
1 Jamaican Road,Safety Bay,372500,3,2,1980,2017
1 Jameson Street,Mosman Park,980000,3,2,1989,2017
1 Jaraba Avenue,Gooseberry Hill,1400000,3,2,1920,2015
1 Jarrah Lane,Mount Claremont,1210000,3,2,2002,2020
1 Jaywick Close,Safety Bay,435000,4,2,1997,2017
1 Jecks Street,Maida Vale,508000,4,2,2003,2020
1 Jeffrey Loop,Brookdale,315000,4,2,2014,2017
1 Jib Court,Ocean Reef,740000,3,2,1989,2020
1 Jindabyne Street,Hilbert,493000,4,2,NULL,2014
1 Johnson Avenue,Guildford,561000,2,1,1900,2019
1 Jolimont Terrace,Jolimont,1100000,3,1,1920,2014
1 Josbury Corner,Carramar,605000,4,2,NULL,2017
1 Jura Court,Duncraig,575000,3,1,1980,2018
1 Jurien Close,Warnbro,301000,4,2,1993,2018
1 Kadi Court,Marangaroo,380000,3,1,1990,2017
1 Kalara Road,Koongamia,350000,3,1,1955,2014
1 Kalara Way,Koongamia,172000,3,2,2003,2005
1 Kalbarri Pass,Jane Brook,725000,4,2,2015,2016
1 Kangaroo Entrance,Stratton,255000,3,1,1994,2019
1 Kartner Road,Tapping,500000,4,2,2006,2019
1 Kennack Vista,Atwell,617500,4,2,NULL,2018
1 Kensington Street,Bellevue,520000,3,2,1999,2014
1 Kent Street,Viveash,300000,3,1,1969,2010
1 Kevin Street,Stoneville,533000,3,1,1980,2014
1 Kilmurray Elbow,Huntingdale,415000,4,2,2002,2020
1 Kinkuna Way,City Beach,1645000,5,4,1974,2016
1 Kirkcolm Way,Warwick,655000,4,2,1982,2018
1 Kirke Cove,Merriwa,307000,4,2,2002,2018
1 Kirkstall Way,Sawyers Valley,405000,2,1,1981,2008
1 Knaphill Heights,Mirrabooka,458000,6,2,1989,2016
1 Kookaburra Terrace,Ballajura,335000,4,1,1990,2018
1 Kooralbyn Way,Connolly,745000,4,2,NULL,2014
1 Kutcharo Crescent,Joondalup,451000,3,1,1989,2019
1 Kyby Place,Carramar,719000,4,2,2006,2020
1 Kyle Place,Swan View,726000,4,3,1979,2016
1 Lambeth Mews,Mount Claremont,2150000,5,3,2000,2016
1 Lanark Street,Menora,875000,2,1,1930,2007
1 Langham Street,Nedlands,1200000,4,2,2012,2019
1 Lark Court,Yangebup,325000,3,1,NULL,2019
1 Lark Mews,Ballajura,550000,3,1,1989,2020
1 Lauder Place,Kinross,525000,4,2,1994,2017
1 Laughton Way,Leeming,577000,3,2,2010,2019
1 Lee Street,Forrestfield,305000,3,1,1981,2020
1 Leigh Court,Marangaroo,410000,3,1,NULL,2016
1 Lena Street,Beckenham,385000,4,1,1984,2017
1 Lennoxtown Road,Duncraig,650000,5,2,1977,2020
1 Letchworth Centre Avenue,Salter Point,1000000,4,1,2003,2020
1 Librizzi Parade,Sinagra,530000,4,2,2008,2016
1 Lilypond Court,Ascot,555000,5,1,1995,2014
1 Lindeman Heights,Ridgewood,430000,4,2,NULL,2018
1 Linnett Brace,Darch,550000,4,2,2009,2019
1 Lintonmarc Drive,Redcliffe,555000,4,2,2000,2017
1 Litchfield Crescent,Carramar,565000,3,2,2005,2018
1 Little Lefroy Lane,South Fremantle,950000,3,2,2000,2020
1 Lorient Close,Warnbro,800000,4,2,1993,2020
1 Love Street,Myaree,625000,4,2,2001,2020
1 Luhrs Court,Mundaring,675000,4,2,1996,2020
1 Luke Place,Ascot,580000,4,2,2003,2016
1 Lundy Cove,Kiara,365000,4,2,1992,2009
1 Macdonald Road,Applecross,990000,3,1,1966,2017
1 Mackie Place,Midvale,375000,4,2,1998,2012
1 Maidos Street,Ashfield,358000,3,2,1997,2006
1 MAJORELLE WAY,Eglinton,279500,4,2,2015,2015
1 Mal Bay Court,Mindarie,660000,4,1,1998,2020
1 Malcolm Street,North Beach,1980000,2,2,NULL,2018
1 Maley Court,Ashfield,435000,4,2,1996,2006
1 Malibu Entrance,Iluka,1500000,5,4,2003,2016
1 Malone Mews,Clarkson,299000,4,2,1996,2019
1 Manhattan Concourse,Hilbert,445000,3,2,2016,2016
1 Mannaw Place,Hillman,315000,4,2,1976,2009
1 Mannix Pass,Queens Park,500000,4,2,2002,2016
1 Marconi Street,Morley,650000,3,1,2008,2020
1 Mardja Loop,Mardella,270000,4,2,2000,2002
1 Margaret Road,Secret Harbour,700000,4,2,2007,2020
1 Marich Cove,Atwell,442000,3,1,1994,2019
1 Maritana Road,Kallaroo,470000,3,1,1978,2016
1 Marker Road,Ocean Reef,940250,5,3,1988,2017
1 Markham Place,Bentley,375000,3,1,1986,2018
1 Maroma Loop,Burns Beach,672500,4,2,2012,2019
1 Martin Avenue,Rivervale,400000,3,1,1966,2020
1 Mayhill Place,Craigie,445000,3,2,1978,2017
1 McBain Court,Langford,468000,4,2,1970,2018
1 Mcdermott Road,Kwinana Town Centre,145700,3,2,2015,2013
1 McKenna Glen,Mount Claremont,1050000,4,2,1992,2017
1 McKenzie Corner,Bertram,470000,4,2,2005,2016
1 McNairn Cross,Leda,325000,4,2,NULL,2015
1 Meadow Place,Hocking,360000,3,1,1989,2020
1 Meares Avenue,Parmelia,220000,4,2,2013,2019
1 Mears Way,Hilbert,276000,3,2,2015,2015
1 Medawar Loop,Piara Waters,618000,4,2,NULL,2020
1 Meldrum Loop,Bedfordale,330000,4,3,NULL,2016
1 Melissa Street,Duncraig,950000,4,2,1983,2020
1 Melita Drive,Helena Valley,464000,3,2,2013,2017
1 Melrose Crescent,Menora,1365000,4,3,1955,2018
1 Memorial Avenue,Baskerville,1500000,3,1,1974,2009
1 Mercer Place,Thornlie,300000,3,1,1975,2019
1 Merley Crescent,City Beach,1720000,4,2,NULL,2019
1 Merlot Court,The Vines,455000,4,2,1995,2017
1 Milina Street,Hillman,278000,3,1,1977,2014
1 Mingara Avenue,Harrisdale,1200000,4,3,2009,2018
1 Mission Place,Cooloongup,430000,4,2,1992,2017
1 Moira Mews,Stratton,365000,4,2,1995,2015
1 Monarch Way,Wattle Grove,486000,3,2,2012,2016
1 Montana Crescent,Dayton,430000,3,2,2014,2015
1 Montrose Way,Nollamara,300000,3,1,1992,2020
1 Moody Glen,Palmyra,740000,5,2,1998,2019
1 Moseley Drive,The Vines,859000,4,2,2008,2018
1 Mosman Loop,Success,540000,4,2,2010,2019
1 Mottee Road,Bateman,778000,4,2,1982,2016
1 Mudalla Way,Koongamia,385000,3,1,1959,2015
1 Mulberry Lane,Mirrabooka,410000,2,1,1988,2015
1 Mulgrave Loop,Mindarie,610000,5,2,2004,2020
1 Myhill Mews,Leda,215000,3,1,1993,2017
1 Namoi Street,Hammond Park,595000,4,1,2006,2019
1 Nardie Place,Hillman,320000,3,1,1976,2014
1 Narla Place,Koongamia,262000,2,1,1959,2010
1 Nettia Place,Bennett Springs,525000,4,2,NULL,2014
1 New Ross Lane,Waterford,1050000,4,2,2001,2011
1 Newman Place,Kenwick,370000,7,2,1975,2019
1 Newmarket Retreat,Currambine,540000,4,3,1998,2019
1 newquay Street,Harrisdale,462500,4,2,2010,2018
1 Niagara Cove,Bentley,438000,5,2,1996,2018
1 Nicholas Crescent,Hilton,467500,2,1,1951,2015
1 Nobilis Street,Beeliar,500000,4,2,2015,2019
1 Norfolk Rise,Mount Claremont,1900000,5,2,1992,2019
1 Northerly Avenue,Ascot,854000,3,2,2011,2015
1 Nundah Court,Glen Forrest,520000,3,1,NULL,2016
1 Nyjong Street,Kenwick,350000,4,2,1999,2018
1 Oakwood Court,Beechboro,475000,4,2,1991,2017
1 Oban Court,Duncraig,1115000,4,4,1980,2018
1 Odell Court,Carine,800000,4,2,1977,2016
1 Odell Street,Secret Harbour,385000,4,2,2005,2019
1 Odessa Place,Beldon,550000,4,2,NULL,2015
1 Offord Street,Armadale,176500,3,1,1977,2019
1 Ollera Meander,Carramar,435000,4,2,NULL,2017
1 Ollis Street,Safety Bay,360000,4,1,1972,2018
1 O'Mara Boulevard,Iluka,625000,4,2,2004,2020
1 Orange Valley Road,Kalamunda,582500,3,1,1930,2020
1 Orsulich Loop,Spearwood,408000,3,2,NULL,2020
1 Otway Street,Swanbourne,2302500,5,3,1930,2016
1 Palos Court,Sorrento,680000,4,2,1985,2020
1 Parish Lane,Churchlands,1400000,4,3,2003,2016
1 Park Lane,Kardinya,610000,4,2,1990,2019
1 Parkwood Avenue,Woodvale,554500,3,2,1992,2018
1 Peaceful Close,Marangaroo,420000,4,2,1998,2017
1 Pearson Crescent,Bull Creek,950000,6,3,1976,2017
1 Pedalstone Drive,Southern River,705000,4,2,2008,2020
1 Peet Crescent,Trigg,780000,3,1,1974,2016
1 Pelion Court,Middle Swan,505000,4,2,2010,2014
1 Penn Lane,Hammond Park,515000,4,2,2003,2020
1 Penson Street,Singleton,345000,3,1,1990,2018
1 Pera Mews,Beldon,460000,4,1,1987,2014
1 Peter Way,Rossmoyne,1778000,5,3,2013,2018
1 Piermont Avenue,Burns Beach,900000,4,3,2008,2017
1 Pimelea Rise,Beeliar,495000,4,2,NULL,2018
1 Pixie Place,Two Rocks,395000,5,2,2011,2020
1 Platypus Parkway,Beeliar,605000,4,2,NULL,2018
1 Plover Way,Stirling,625000,3,2,1980,2020
1 Poinsettia Grove,South Lake,499000,4,2,1994,2016
1 Point Link,Alkimos,595000,4,2,2011,2019
1 Polglase Fairway,Clarkson,379000,4,2,1998,2020
1 Portland Way,Ridgewood,520000,4,2,2007,2015
1 Portsea Gardens,Jandakot,912000,4,3,1998,2014
1 Presto Close,Quinns Rocks,475000,4,2,2001,2020
1 Printer Street,Dianella,560000,2,1,1970,2020
1 Punai Place,Bickley,1000000,5,3,1990,2009
1 Pursuit Close,Middle Swan,407000,4,2,1992,2015
1 Purvis Street,Hamilton Hill,470000,3,1,1960,2020
1 Quail Place,Langford,440000,4,1,1985,2015
1 Quenda Close,Beeliar,520000,4,2,2000,2019
1 Ragtime Court,Ascot,440000,3,2,1997,2016
1 Ramose Close,Heathridge,415000,3,1,1979,2020
1 Reflection Mews,Safety Bay,419000,3,2,2005,2019
1 Regatta Way,Alkimos,307000,4,2,2015,2019
1 Regent Court,Cockburn Central,515000,3,2,2001,2014
1 Reginald Street,Queens Park,670000,5,3,2013,2016
1 Reilly Street,Singleton,330000,3,1,1958,2017
1 Reinagle Street,Ashby,539000,4,2,2006,2017
1 Repens Way,Banksia Grove,370000,4,2,2006,2019
1 Reserve Street,Bicton,1820000,5,2,2000,2019
1 Retchford Way,Queens Park,560000,4,2,2010,2018
1 Reuben Street,Beaconsfield,590000,3,1,1960,2017
1 Riber Court,Carine,925000,5,3,1981,2016
1 Richards Crescent,Craigie,440000,3,1,1986,2017
1 Rigoll Court,Mundijong,400000,3,1,1986,2014
1 Ringarooma Way,Willetton,670000,4,2,1984,2019
1 Ringmer Way,Westminster,380000,3,2,2007,2016
1 River Bank Boulevard,South Guildford,750000,4,2,NULL,2015
1 River Bed Pass,Wilson,765000,4,2,1994,2019
1 Riverdale Road,Helena Valley,415000,4,2,1994,2018
1 Robert Street,Dalkeith,1700000,3,2,1964,2016
1 Robyn Street,Morley,520000,3,1,1964,2019
1 ROKER Way,Brabham,344000,3,2,NULL,2018
1 Romani Court,Lockridge,400000,4,2,1999,2015
1 Rosalind Court,Rossmoyne,1110000,4,2,1970,2018
1 Rose Bay Court,Kallaroo,1150000,4,3,1992,2016
1 ROSTRATUS Link,Dayton,480000,3,2,2015,2016
1 Rothsay Crescent,Menora,915000,3,1,1952,2016
1 Rowe Place,Noranda,620000,3,2,2016,2017
1 Royal Melbourne Avenue,Connolly,705000,4,2,1990,2020
1 Royce Grove,Booragoon,932000,2,1,1982,2020
1 Ruby Avenue,Langford,482000,4,2,2000,2015
1 Ruby Court,Mount Richon,589000,5,2,1987,2015
1 Rudge Place,Lockridge,320000,3,1,1972,2014
1 Sabro Lane,Caversham,463000,3,2,NULL,2016
1 Salamanca Parkway,Port Kennedy,345000,3,2,NULL,2019
1 Salisbury Road,Beechboro,350000,4,1,1975,2017
1 Salmond Way,Bull Creek,802000,4,2,1990,2017
1 Salvin Road,Gwelup,820000,4,2,2011,2015
1 Samos Place,Mindarie,790000,4,2,1995,2018
1 Sandalford Drive,Beldon,504000,3,1,1983,2015
1 Sandridge Street,Banksia Grove,330000,3,2,NULL,2017
1 Sandringham Street,Trigg,1051000,3,2,1972,2017
1 Sapium Way,Woodvale,565000,4,2,NULL,2019
1 Scarcliffe Way,Carine,1125000,5,3,1988,2017
1 Scott Street,Kewdale,472000,3,2,2009,2017
1 Seabreeze Avenue,Burns Beach,860000,4,2,NULL,2020
