Address,Suburb,Price,Bedroom,Bathroom,YearBuilt,DateSold
45 Hearn St,Altona North,1085000,5,3,1965,3/09/2016
4 Knapp St,Altona North,781000,3,1,1970,3/09/2016
103 Sixth Av,Altona North,857500,,,,3/09/2016
80A Hansen St,Altona North,960000,,,,4/03/2017
21 Hatherley Gr,Altona North,750000,3,1,,4/03/2017
3/66 Marion St,Altona North,421000,2,1,2009,4/03/2017
153 Mills St,Altona North,1405000,3,1,,4/03/2017
33 Carthy St,Altona North,683000,3,1,1967,4/06/2016
16 Harris St,Altona North,623000,3,1,,4/06/2016
1/5 Little St,Altona North,720000,3,2,2012,6/08/2016
58a Clematis Av,Altona North,780000,,,,7/05/2016
1/77 Hansen St,Altona North,720000,,,,7/05/2016
21 Joel Av,Altona North,705000,,,,7/05/2016
1/95 Mills St,Altona North,588000,3,1,1970,7/05/2016
2/5 Stapley Cr,Altona North,720000,,,,7/05/2016
5 Binns St,Altona North,710000,3,1,1960,7/11/2016
2/9 First Av,Altona North,550000,,,,7/11/2016
1/28 Irwin Av,Altona North,640000,,,,7/11/2016
3/49 Misten Av,Altona North,537500,,,,7/11/2016
25 Allan St,Altona North,875000,3,1,1965,8/10/2016
9 Fourth Av,Altona North,800000,,,,8/10/2016
11a Edward Av,Altona North,713500,,,,10/09/2016
21 Hatherley Gr,Altona North,700000,3,1,,10/12/2016
1B Paproth Gr,Altona North,551000,,,,10/12/2016
7 Seventh Av,Altona North,685000,,,,10/12/2016
1/256 Mason St,Altona North,640000,2,1,1965,11/03/2017
21 Allan St,Altona North,650000,4,1,,12/06/2016
56a First Av,Altona North,925000,,,,12/11/2016
85a First Av,Altona North,670000,,,,14/05/2016
22 Joel Av,Altona North,680000,,,,14/05/2016
11 Mahon Av,Altona North,765000,,,,14/05/2016
2/36 May St,Altona North,675000,3,2,2012,14/05/2016
11 Beevers St,Altona North,708000,3,1,1960,15/10/2016
2/10 Cleghorn Av,Altona North,656000,,,,15/10/2016
2 Edward Av,Altona North,883000,,,,15/10/2016
10 Murphy St,Altona North,965000,4,1,,15/10/2016
128 Second Av,Altona North,870000,,,,15/10/2016
5/24 Valerian Av,Altona North,681000,,,,15/10/2016
2/31 Cooper Av,Altona North,522500,,,,16/07/2016
9 Begonia Av,Altona North,972000,,,,17/09/2016
1/36 Amaranth Av,Altona North,590000,,,,18/06/2016
3/36 Amaranth Av,Altona North,450000,,,,18/06/2016
61 Cooper Av,Altona North,765000,,,,18/06/2016
10 Freemans St,Altona North,750000,,,,18/06/2016
16 Beevers St,Altona North,680000,3,1,,19/11/2016
150A McIntosh Rd,Altona North,510000,,,,19/11/2016
21 Neal Ct,Altona North,770000,3,1,,19/11/2016
31 Duosa Rd,Altona North,923000,3,1,,22/05/2016
252 Millers Rd,Altona North,693000,4,2,2008,22/05/2016
1/156 Chambers Rd,Altona North,620000,5,2,2010,22/08/2016
19 Cleghorn Av,Altona North,800000,,,,22/08/2016
2 Gadsden St,Altona North,728500,3,1,1960,22/08/2016
24 Hansen St,Altona North,931000,3,2,1950,22/08/2016
4 Prismall St,Altona North,988000,3,1,2008,22/08/2016
1/21 Freemans Rd,Altona North,590000,,,,23/04/2016
122 McIntosh Rd,Altona North,590000,3,1,,23/04/2016
35 May St,Altona North,610000,2,1,,24/09/2016
6 Hill St,Altona North,815000,3,2,1960,25/02/2017
84 May St,Altona North,970000,4,1,,25/02/2017
81 Fifth Av,Altona North,840000,,,,26/07/2016
23 Huxtable Av,Altona North,840000,,,,26/07/2016
155 Chambers Rd,Altona North,760000,4,1,,27/06/2016
61a First Av,Altona North,852500,,,,27/06/2016
268d Mason St,Altona North,847500,4,3,,27/06/2016
5 Cresser St,Altona North,1200000,4,1,1960,27/11/2016
1/33 Fifth Av,Altona North,630000,,,,27/11/2016
107 McIntosh Rd,Altona North,700000,3,1,,27/11/2016
10 Knapp St,Altona North,625000,3,1,,28/05/2016
4/221 Blackshaws Rd,Altona North,292000,2,1,1970,28/08/2016
56a MacDonald Av,Altona North,640000,,,,28/08/2016
126 Sixth Av,Altona North,800000,,,,30/07/2016
8/19 Mercer Rd,Armadale,599000,2,1,1964,3/09/2016
1/42 Adelaide St,Armadale,550000,2,1,,3/12/2016
14/71 Denbigh Rd,Armadale,995000,3,2,1998,3/12/2016
4/769 High St,Armadale,1205000,3,2,2000,3/12/2016
28 Lambeth Av,Armadale,2675000,,,,3/12/2016
7 Llaneast St,Armadale,1939000,3,2,1889,3/12/2016
9/55 Northcote Rd,Armadale,421500,1,1,,3/12/2016
1/7 Railway Av,Armadale,585000,,,,3/12/2016
65 Barkly Av,Armadale,2050000,,,,4/03/2017
28 Cambridge St,Armadale,1870000,3,1,1888,4/03/2017
3/16 Fulton St,Armadale,678000,2,1,,4/03/2017
3/20 Mercer Rd,Armadale,1918000,3,2,1995,4/03/2017
1/77 Wattletree Rd,Armadale,660000,2,1,,4/03/2017
12 Willis St,Armadale,2050000,3,2,1910,4/03/2017
8/71 Denbigh Rd,Armadale,700000,2,1,,4/06/2016
11/17 Myamyn St,Armadale,3625000,3,2,2006,4/06/2016
526 Orrong Rd,Armadale,3000000,4,2,1934,4/06/2016
37 Barkly Av,Armadale,1930000,,,,6/08/2016
553 Dandenong Rd,Armadale,1525000,8,2,,7/05/2016
9/19 Mercer Rd,Armadale,735000,3,2,1970,7/05/2016
6/26 Mercer Rd,Armadale,825000,2,1,,7/05/2016
538a Orrong Rd,Armadale,1586000,2,2,,7/05/2016
18/41 Kooyong Rd,Armadale,645000,3,1,1960,8/10/2016
10 William St,Armadale,1435000,2,2,1900,8/10/2016
15/405 Dandenong Rd,Armadale,280000,1,1,1975,10/09/2016
1/2 Armadale St,Armadale,400000,1,1,,10/12/2016
4/20 Mercer Rd,Armadale,1780000,2,2,,10/12/2016
8/58 Sutherland Rd,Armadale,592500,2,1,1970,10/12/2016
40 New St,Armadale,1210000,2,1,1910,12/11/2016
35 Northcote Rd,Armadale,2801000,4,2,1900,12/11/2016
7/53 Wattletree Rd,Armadale,390000,1,1,,14/05/2016
791 High St,Armadale,1800000,3,2,1910,15/10/2016
25 Llaneast St,Armadale,2200000,4,1,1900,15/10/2016
8/569 Orrong Rd,Armadale,324000,1,1,,16/04/2016
367 Dandenong Rd,Armadale,5525000,5,3,1935,17/09/2016
34a Rose St,Armadale,1125000,3,1,,17/09/2016
42 Rose St,Armadale,2250000,3,3,,17/09/2016
12 Auburn Gr,Armadale,2360000,3,2,,18/03/2017
31 Hume St,Armadale,1900000,2,2,,18/03/2017
10/581 Orrong Rd,Armadale,440000,1,1,1970,18/03/2017
7/579 Dandenong Rd,Armadale,490000,2,1,1966,18/06/2016
19 Glassford St,Armadale,2365000,3,2,,18/06/2016
14 New St,Armadale,1300000,2,1,1900,18/06/2016
7/501 Orrong Rd,Armadale,732000,3,2,,18/06/2016
6/51 Armadale St,Armadale,704000,2,1,1969,19/11/2016
12/41 Kooyong Rd,Armadale,620000,3,1,1970,19/11/2016
63 Denbigh Rd,Armadale,1900000,3,1,1900,22/05/2016
13/56 Sutherland Rd,Armadale,315000,1,1,,22/08/2016
48 Barkly Av,Armadale,1992000,,,,23/04/2016
7/22 Derby St,Armadale,450000,1,1,,24/09/2016
10/51 Armadale St,Armadale,710000,2,1,1970,25/02/2017
2/377 Dandenong Rd,Armadale,872000,2,1,1953,25/02/2017
1/14 Denbigh Rd,Armadale,598000,2,1,1970,25/02/2017
75 Sutherland Rd,Armadale,1285000,3,1,1920,25/02/2017
61 Union St,Armadale,3660000,4,3,,25/02/2017
1/403 Dandenong Rd,Armadale,520000,1,1,1970,27/06/2016
7 Lambeth Av,Armadale,2760000,,,,27/06/2016
10/507 Dandenong Rd,Armadale,690000,,,,27/11/2016
44 Denbigh Rd,Armadale,3625000,4,1,1900,27/11/2016
44 Hampden Rd,Armadale,4200000,4,3,2000,27/11/2016
3/769 High St,Armadale,1101000,3,1,2000,27/11/2016
4 Mercer Rd,Armadale,3512500,3,2,1998,27/11/2016
17 Kooyong Rd,Armadale,2000000,4,3,,28/05/2016
1/31 Mercer Rd,Armadale,869000,2,1,1940,28/05/2016
8/507 Dandenong Rd,Armadale,577000,,,,28/08/2016
37 Lambeth Av,Armadale,2865000,,,,28/08/2016
16 Llaneast St,Armadale,2810000,5,2,,28/08/2016
2/532 Orrong Rd,Armadale,565000,3,1,,28/08/2016
5/555 Orrong Rd,Armadale,567000,1,1,2013,28/08/2016
3/50 Denbigh Rd,Armadale,546000,2,0,,30/07/2016
7/844 Malvern Rd,Armadale,471500,2,1,1980,30/07/2016
2/43 Roxburgh St,Ascot Vale,455000,3,1,,3/09/2016
30 Rothwell St,Ascot Vale,940000,3,1,1920,3/12/2016
9/5 Rothwell St,Ascot Vale,467000,2,1,1980,3/12/2016
42 Archer Av,Ascot Vale,895000,,,,4/02/2016
7 Francis St,Ascot Vale,1380000,3,2,1910,4/03/2017
2/21 Harold St,Ascot Vale,490000,2,1,1970,4/03/2017
44 The Parade,Ascot Vale,1850000,4,3,1900,4/03/2017
97 Walter St,Ascot Vale,1284000,3,1,1938,4/03/2017
98 Epsom Rd,Ascot Vale,971000,3,2,1900,4/06/2016
8 Geddes St,Ascot Vale,710000,2,1,1890,4/06/2016
75 Maribyrnong Rd,Ascot Vale,2425000,6,3,1887,4/06/2016
119 Roseberry St,Ascot Vale,750000,2,1,1920,4/06/2016
25 Station Av,Ascot Vale,840000,,,,4/06/2016
10 Fenton St,Ascot Vale,1053000,2,1,1900,6/08/2016
10 McCully St,Ascot Vale,1377000,3,1,1900,6/08/2016
120 Epsom Rd,Ascot Vale,970000,3,1,1904,7/05/2016
47 Hurtle St,Ascot Vale,940000,2,1,,7/05/2016
63 Kent St,Ascot Vale,751000,2,1,1890,7/05/2016
4 The Parade,Ascot Vale,950000,2,1,1900,7/05/2016
1/17 Epsom Rd,Ascot Vale,685000,2,1,1995,7/11/2016
41 Monash St,Ascot Vale,1230000,4,1,1960,8/10/2016
2/78 Ormond Rd,Ascot Vale,636500,2,1,,8/10/2016
83 Roseberry St,Ascot Vale,910000,3,1,,8/10/2016
7a Station Av,Ascot Vale,872500,,,,8/10/2016
51 Francis St,Ascot Vale,770000,2,1,1900,10/09/2016
5/39 Sandown Rd,Ascot Vale,490000,,,,10/09/2016
33 Dalgety Dr,Ascot Vale,960000,3,2,2011,10/12/2016
12 Mirams St,Ascot Vale,890000,4,1,1890,10/12/2016
2 The Parade,Ascot Vale,965000,2,1,,10/12/2016
17 Aspect Av,Ascot Vale,1200000,,,,11/02/2017
78 The Parade,Ascot Vale,1440000,3,1,1900,11/02/2017
11 Ascot St,Ascot Vale,955000,2,1,,11/03/2017
24/54 Epsom Rd,Ascot Vale,450000,2,1,2010,12/11/2016
2 Farncomb St,Ascot Vale,801000,3,1,1950,12/11/2016
6 Leonard Cr,Ascot Vale,770000,,,,12/11/2016
26 Newsom St,Ascot Vale,1000000,3,2,1955,12/11/2016
8 Pentland St,Ascot Vale,1435000,3,2,1950,12/11/2016
8/129 The Parade,Ascot Vale,390000,1,1,1972,12/11/2016
52 Monash St,Ascot Vale,1425000,3,2,1920,13/08/2016
32 Myross Av,Ascot Vale,925000,,,,13/08/2016
58 Fenton St,Ascot Vale,1340000,3,2,1978,14/05/2016
70 Munro St,Ascot Vale,955000,3,1,1910,14/05/2016
1 Nairn Av,Ascot Vale,1075000,,,,14/05/2016
125 Epsom Rd,Ascot Vale,1100000,4,2,1920,15/10/2016
33 Hockey La,Ascot Vale,1255000,3,2,,15/10/2016
55 Hunt Cr,Ascot Vale,1483000,,,,15/10/2016
3/28 Ormond Rd,Ascot Vale,432000,2,1,1978,15/10/2016
7 Angler Pde,Ascot Vale,1640000,4,3,1890,16/04/2016
26 Ayr St,Ascot Vale,1430000,4,2,1900,16/04/2016
2/127 Epsom Rd,Ascot Vale,610000,2,1,1995,16/04/2016
57 The Parade,Ascot Vale,940000,3,3,1950,16/04/2016
62 Mirams St,Ascot Vale,890000,3,1,1920,16/07/2016
4 Morphett Av,Ascot Vale,1505000,,,,16/07/2016
67 Hurtle St,Ascot Vale,1180000,3,2,1930,17/09/2016
95 Walter St,Ascot Vale,1480000,4,2,1939,17/09/2016
15 Bayview Tce,Ascot Vale,1150000,2,1,,18/03/2017
57 Monash St,Ascot Vale,1350000,3,1,,18/03/2017
54 South St,Ascot Vale,1905000,5,2,,18/03/2017
3/8 Walter St,Ascot Vale,865000,2,2,2015,18/03/2017
2/225 Maribyrnong Rd,Ascot Vale,705000,2,2,1998,18/06/2016
12/9 Milton St,Ascot Vale,442000,2,1,1975,18/06/2016
107/8 Burrowes St,Ascot Vale,540000,2,2,,19/11/2016
21A Geddes St,Ascot Vale,1037500,3,1,1920,19/11/2016
1/20 Newsom St,Ascot Vale,1050000,3,2,2013,19/11/2016
4/27 Roseberry St,Ascot Vale,440000,2,1,1970,19/11/2016
126 The Parade,Ascot Vale,1010000,2,1,,19/11/2016
43 Bloomfield Rd,Ascot Vale,1430000,4,2,1900,22/05/2016
6/17 Geddes St,Ascot Vale,570000,2,1,,22/05/2016
1/60 The Parade,Ascot Vale,690000,2,1,,22/05/2016
